acc,aug_type,condition,ece,group,intensity,kappa,layer,macro_f1,nll,seed,target_subject
0.2326388888888889,bad_artifact,BadArtifact,0.04506720633556445,BadArtifact,0.75,-0.02314814814814814,layer1,0.1463111541148403,1.3862733840942383,20,5
0.2916666666666667,none,NoAug,0.02128694372044669,NoAug,0.0,0.05555555555555558,layer1,0.2471191391977724,1.3889679908752441,21,5
0.2777777777777778,clean,CleanAug,0.008938759565353394,CleanAug,0.75,0.037037037037037056,layer1,0.23177088034044774,1.39059579372406,21,5
0.2881944444444444,bad_content,BadContent,0.017344490831924807,BadContent,0.75,0.050925925925925895,layer1,0.19226316804939225,1.4112844467163086,21,5
0.22916666666666666,bad_style,BadStyle,0.058084663624564804,BadStyle,0.75,-0.02777777777777779,layer1,0.1556708412592894,1.3927358388900757,21,5
0.28125,bad_physio,BadPhysio,0.02572739439912968,BadPhysio,0.75,0.041666666666666664,layer1,0.2336780530295635,1.3896223306655884,21,5
0.2604166666666667,bad_artifact,BadArtifact,0.009674134974678358,BadArtifact,0.75,0.013888888888888914,layer1,0.2176340578743625,1.3878967761993408,21,5
0.2743055555555556,none,NoAug,0.008763613800207773,NoAug,0.0,0.03240740740740744,layer1,0.23192939629208012,1.3861819505691528,22,5
0.2916666666666667,clean,CleanAug,0.02211017099519571,CleanAug,0.75,0.05555555555555558,layer1,0.21899660906156798,1.387278437614441,22,5
0.2638888888888889,bad_content,BadContent,0.02684304832170407,BadContent,0.75,0.018518518518518528,layer1,0.1619343389529725,1.3963797092437744,22,5
0.2465277777777778,bad_style,BadStyle,0.032009337200886674,BadStyle,0.75,-0.004629629629629613,layer1,0.1696381714585598,1.388745665550232,22,5
0.2777777777777778,bad_physio,BadPhysio,0.007483585427204768,BadPhysio,0.75,0.037037037037037056,layer1,0.19127151107967938,1.387857437133789,22,5
0.25,bad_artifact,BadArtifact,0.022085357198698655,BadArtifact,0.75,0.0,layer1,0.16220861784789264,1.3878675699234009,22,5
0.2569444444444444,none,NoAug,0.08449761253885096,NoAug,0.0,0.009259259259259226,layer1,0.12965285782086922,1.376678705215454,20,6
0.2847222222222222,clean,CleanAug,0.08012187972457872,CleanAug,0.75,0.04629629629629628,layer1,0.17419502836169504,1.3722589015960693,20,6
0.2326388888888889,bad_content,BadContent,0.1286844254937023,BadContent,0.75,-0.02314814814814814,layer1,0.10517140194013877,1.4263615608215332,20,6
0.2916666666666667,bad_style,BadStyle,0.01874585977445046,BadStyle,0.75,0.05555555555555558,layer1,0.19715421626939628,1.3738446235656738,20,6
0.2916666666666667,bad_physio,BadPhysio,0.0630263015627861,BadPhysio,0.75,0.05555555555555558,layer1,0.19284112319277905,1.3712552785873413,20,6
0.3194444444444444,bad_artifact,BadArtifact,0.06195741333067417,BadArtifact,0.75,0.09259259259259256,layer1,0.2468028687985261,1.3690659999847412,20,6
0.2847222222222222,none,NoAug,0.02540013561439183,NoAug,0.0,0.04629629629629628,layer1,0.2127304498047532,1.385516881942749,21,6
0.2951388888888889,clean,CleanAug,0.036368396029704146,CleanAug,0.75,0.060185185185185196,layer1,0.23326520636988876,1.3869194984436035,21,6
0.25,bad_content,BadContent,0.09910937833289307,BadContent,0.75,0.0,layer1,0.1,1.413219928741455,21,6
0.2534722222222222,bad_style,BadStyle,0.03950259705177612,BadStyle,0.75,0.004629629629629613,layer1,0.24243380541871923,1.3858498334884644,21,6
0.2916666666666667,bad_physio,BadPhysio,0.034883308172639876,BadPhysio,0.75,0.05555555555555558,layer1,0.25689905171347666,1.3864099979400635,21,6
0.3090277777777778,bad_artifact,BadArtifact,0.04817540829794274,BadArtifact,0.75,0.07870370370370372,layer1,0.2860750619636069,1.3855319023132324,21,6
0.2986111111111111,none,NoAug,0.054026521949304476,NoAug,0.0,0.06481481481481481,layer1,0.28035738798258353,1.3743042945861816,22,6
0.28125,clean,CleanAug,0.02293981622076697,CleanAug,0.75,0.041666666666666664,layer1,0.2669083088916767,1.3752933740615845,22,6
0.2534722222222222,bad_content,BadContent,0.12435689687521922,BadContent,0.75,0.004629629629629613,layer1,0.10712786660052658,1.4294971227645874,22,6
0.2951388888888889,bad_style,BadStyle,0.03428656219815214,BadStyle,0.75,0.060185185185185196,layer1,0.24944091725732637,1.3773589134216309,22,6
0.2777777777777778,bad_physio,BadPhysio,0.06455900571826431,BadPhysio,0.75,0.037037037037037056,layer1,0.2709508017894072,1.3749110698699951,22,6
0.2743055555555556,bad_artifact,BadArtifact,0.054071121073017515,BadArtifact,0.75,0.03240740740740744,layer1,0.23532129144624042,1.3756474256515503,22,6
0.2847222222222222,none,NoAug,0.060916598058409155,NoAug,0.0,0.04629629629629628,layer1,0.1624211625758245,1.375634789466858,20,7
0.2881944444444444,clean,CleanAug,0.05568450689315796,CleanAug,0.75,0.050925925925925895,layer1,0.17507190303214504,1.3725721836090088,20,7
0.2534722222222222,bad_content,BadContent,0.08721385502980816,BadContent,0.75,0.004629629629629613,layer1,0.10750700280112047,1.400175929069519,20,7
0.34375,bad_style,BadStyle,0.07997245155274868,BadStyle,0.75,0.125,layer1,0.29183915043290043,1.3747891187667847,20,7
0.2673611111111111,bad_physio,BadPhysio,0.07368644445927607,BadPhysio,0.75,0.02314814814814814,layer1,0.13541449778291884,1.3716862201690674,20,7
0.3125,bad_artifact,BadArtifact,0.055983786212487355,BadArtifact,0.75,0.08333333333333333,layer1,0.22629386650005207,1.369573950767517,20,7
0.3125,none,NoAug,0.06286630055142774,NoAug,0.0,0.08333333333333333,layer1,0.2212293280608308,1.3721760511398315,21,7
0.3055555555555556,clean,CleanAug,0.05070272098398871,CleanAug,0.75,0.07407407407407411,layer1,0.22713277301691936,1.3712849617004395,21,7
0.2673611111111111,bad_content,BadContent,0.06062919191188282,BadContent,0.75,0.02314814814814814,layer1,0.1734134514020662,1.4033652544021606,21,7
0.3125,bad_style,BadStyle,0.04516777851515346,BadStyle,0.75,0.08333333333333333,layer1,0.28817614427923705,1.371218204498291,21,7
0.3125,bad_physio,BadPhysio,0.06151458641721143,BadPhysio,0.75,0.08333333333333333,layer1,0.22676231419848444,1.3702187538146973,21,7
0.3055555555555556,bad_artifact,BadArtifact,0.03634837714748251,BadArtifact,0.75,0.07407407407407411,layer1,0.25283144570286475,1.3687281608581543,21,7
0.2951388888888889,none,NoAug,0.03778068643684189,NoAug,0.0,0.060185185185185196,layer1,0.19006410256410255,1.3742095232009888,22,7
0.2986111111111111,clean,CleanAug,0.03991809249338176,CleanAug,0.75,0.06481481481481481,layer1,0.19004065040650409,1.373200535774231,22,7
0.2777777777777778,bad_content,BadContent,0.06268239135129584,BadContent,0.75,0.037037037037037056,layer1,0.1535561212980568,1.4047367572784424,22,7
0.3298611111111111,bad_style,BadStyle,0.059883948829438954,BadStyle,0.75,0.10648148148148147,layer1,0.2795437495545863,1.3736635446548462,22,7
0.2951388888888889,bad_physio,BadPhysio,0.041958387941122055,BadPhysio,0.75,0.060185185185185196,layer1,0.18491253777556885,1.3714327812194824,22,7
0.2951388888888889,bad_artifact,BadArtifact,0.03471988273991479,BadArtifact,0.75,0.060185185185185196,layer1,0.19230846183876638,1.3692020177841187,22,7
0.3229166666666667,none,NoAug,0.054430243455701396,NoAug,0.0,0.09722222222222225,layer1,0.21605037513397643,1.3610215187072754,20,8
0.2951388888888889,clean,CleanAug,0.01726384616146485,CleanAug,0.75,0.060185185185185196,layer1,0.17748538011695908,1.3690190315246582,20,8
0.25,bad_content,BadContent,0.14784133258379167,BadContent,0.75,0.0,layer1,0.10140845070422534,1.3911147117614746,20,8
0.3333333333333333,bad_style,BadStyle,0.04155758716579941,BadStyle,0.75,0.11111111111111109,layer1,0.22277121374865735,1.3610750436782837,20,8
0.2916666666666667,bad_physio,BadPhysio,0.020656661027007632,BadPhysio,0.75,0.05555555555555558,layer1,0.17331334332833584,1.3697725534439087,20,8
0.3298611111111111,bad_artifact,BadArtifact,0.06922748012261258,BadArtifact,0.75,0.10648148148148147,layer1,0.25176085688088684,1.3593502044677734,20,8
0.2916666666666667,none,NoAug,0.02325070473468966,NoAug,0.0,0.05555555555555558,layer1,0.18473835537665326,1.366037130355835,21,8
0.2916666666666667,clean,CleanAug,0.009786177737017471,CleanAug,0.75,0.05555555555555558,layer1,0.1857489760378258,1.3751683235168457,21,8
0.2569444444444444,bad_content,BadContent,0.08610587329086329,BadContent,0.75,0.009259259259259226,layer1,0.15474452554744528,1.3878329992294312,21,8
0.3125,bad_style,BadStyle,0.08102416811096999,BadStyle,0.75,0.08333333333333333,layer1,0.24930422276078806,1.3670790195465088,21,8
0.2743055555555556,bad_physio,BadPhysio,0.021355959069397714,BadPhysio,0.75,0.03240740740740744,layer1,0.14986752977165957,1.3775311708450317,21,8
0.2847222222222222,bad_artifact,BadArtifact,0.019220521259639,BadArtifact,0.75,0.04629629629629628,layer1,0.2367494574391126,1.3739032745361328,21,8
0.3229166666666667,none,NoAug,0.04761858812222878,NoAug,0.0,0.09722222222222225,layer1,0.25078914141414144,1.3661969900131226,22,8
0.3576388888888889,clean,CleanAug,0.07171399104926321,CleanAug,0.75,0.14351851851851852,layer1,0.3029891794952036,1.3604943752288818,22,8
0.25,bad_content,BadContent,0.18038248969241977,BadContent,0.75,0.0,layer1,0.1,1.4009429216384888,22,8
