brier,ece,group,mean_confidence,nll,seed,target_subject,temperature
0.7416461475772409,0.09306840433014765,ArtifactReject_raw,0.2878248989582062,1.370706558227539,22,7,1.0
0.7396870664623478,0.04055123858981663,NaiveAug,0.30999869108200073,1.3655024766921997,20,8,1.0
0.7402664959191306,0.011652162091599581,SoftWeightArtifactReject_raw,0.3017995059490204,1.365519404411316,20,8,1.0
0.74559595422861,0.04348941312895882,SWAR_TempScale_SourceVal,0.26553836464881897,1.377367377281189,20,8,3.25
0.7400409254567885,0.011674949899315848,SWAR_LabelSmoothing_eps005,0.3008858263492584,1.365080714225769,20,8,1.0
0.7396679130169588,0.017973929643630978,SWAR_LabelSmoothing_eps010,0.29964280128479004,1.3645201921463013,20,8,1.0
0.7399643843947499,0.015392421020401836,SWAR_BrierMix_lam005,0.3006235957145691,1.3650081157684326,20,8,1.0
0.7402865560415357,0.02238534059789446,SWAR_BrierMix_lam010,0.30223384499549866,1.3655469417572021,20,8,1.0
0.7381341867113748,0.03726455465786988,ArtifactReject_raw,0.29771775007247925,1.3625062704086304,20,8,1.0
0.7400692084082543,0.020284977224138075,NaiveAug,0.2785080373287201,1.3649879693984985,21,8,1.0
0.7399562237499767,0.03676313772383662,SoftWeightArtifactReject_raw,0.27920907735824585,1.3654450178146362,21,8,1.0
0.7462468251561617,0.0683702462249332,SWAR_TempScale_SourceVal,0.2580186426639557,1.3787102699279785,21,8,3.45
0.7397159423938041,0.040944827927483454,SWAR_LabelSmoothing_eps005,0.27849963307380676,1.365041732788086,21,8,1.0
0.7402993892440205,0.05205528541571565,SWAR_LabelSmoothing_eps010,0.2778058350086212,1.3660002946853638,21,8,1.0
0.7396136766393661,0.08228287597497302,SWAR_BrierMix_lam005,0.2753560245037079,1.3646899461746216,21,8,1.0
0.7395759348181845,0.08603765370531218,SWAR_BrierMix_lam010,0.27507346868515015,1.3645703792572021,21,8,1.0
0.7396668987894512,0.05690549976295896,ArtifactReject_raw,0.27642786502838135,1.3650258779525757,21,8,1.0
0.7364304227948826,0.0541491543667184,NaiveAug,0.29307305812835693,1.3612874746322632,22,8,1.0
0.7349423303567882,0.08694213101019463,SoftWeightArtifactReject_raw,0.2811134457588196,1.3569468259811401,22,8,1.0
0.7430272336333885,0.10154544500013195,SWAR_TempScale_SourceVal,0.26303789019584656,1.3725377321243286,22,8,2.35
0.7346849642051771,0.09268694226112631,SWAR_LabelSmoothing_eps005,0.2788408696651459,1.3562556505203247,22,8,1.0
0.7353317453576174,0.07377056446340348,SWAR_LabelSmoothing_eps010,0.28039610385894775,1.3575042486190796,22,8,1.0
0.7346870458461345,0.08233265454570451,SWAR_BrierMix_lam005,0.28225064277648926,1.3564684391021729,22,8,1.0
0.7347818535069098,0.09488983307447696,SWAR_BrierMix_lam010,0.2801102101802826,1.3565068244934082,22,8,1.0
0.7349299058221984,0.08367077437125975,ArtifactReject_raw,0.2809125483036041,1.3573479652404785,22,8,1.0
0.7149445845289926,0.1613298085414701,NaiveAug,0.2986217737197876,1.3209691047668457,20,9,1.0
0.712584660594898,0.15704960541592705,SoftWeightArtifactReject_raw,0.29433926939964294,1.3150986433029175,20,9,1.0
0.7399507655426675,0.1905730598502689,SWAR_TempScale_SourceVal,0.26081582903862,1.3664922714233398,20,9,3.95
