acc,artifact_reject_percentile,ece,group,kappa,layer,macro_f1,n_train,nll,score_variant,seed,target_subject,w_min
0.2638888888888889,10.0,0.037288776340170034,SASCertTop50,0.018518518518518528,layer3_v2,0.21710625528363509,110,1.3838735818862915,artifact_gate_content_rank,22,6,0.2
0.2951388888888889,10.0,0.038129705004394054,ArtifactReject,0.060185185185185196,layer3_v2,0.28826669602531674,182,1.3754421472549438,artifact_gate_content_rank,22,6,0.2
0.3020833333333333,10.0,0.04413257415095965,SoftWeight,0.06944444444444442,layer3_v2,0.26912178794257646,200,1.3758693933486938,artifact_gate_content_rank,22,6,0.2
0.3020833333333333,10.0,0.044392293526066676,SoftWeightArtifactReject,0.06944444444444442,layer3_v2,0.2780385416431278,182,1.3746788501739502,artifact_gate_content_rank,22,6,0.2
0.2847222222222222,10.0,0.060916598058409155,NoAug,0.04629629629629628,layer3_v2,0.1624211625758245,20,1.375634789466858,artifact_gate_content_rank,20,7,0.2
0.28125,10.0,0.0315459958381123,NaiveAug,0.041666666666666664,layer3_v2,0.1696054852266754,200,1.3733458518981934,artifact_gate_content_rank,20,7,0.2
0.2673611111111111,10.0,0.10320054962196284,Random50,0.02314814814814814,layer3_v2,0.13342830009496676,110,1.3770703077316284,artifact_gate_content_rank,20,7,0.2
0.2708333333333333,10.0,0.0717212475525836,SASCertTop50,0.027777777777777752,layer3_v2,0.14678362573099416,110,1.3718514442443848,artifact_gate_content_rank,20,7,0.2
0.3194444444444444,10.0,0.06423494038689467,ArtifactReject,0.09259259259259256,layer3_v2,0.24299046637756314,182,1.3703725337982178,artifact_gate_content_rank,20,7,0.2
0.2673611111111111,10.0,0.06924123203174935,SoftWeight,0.02314814814814814,layer3_v2,0.14494884910485933,200,1.3691465854644775,artifact_gate_content_rank,20,7,0.2
0.2986111111111111,10.0,0.04773133765492175,SoftWeightArtifactReject,0.06481481481481481,layer3_v2,0.19767542442654215,182,1.3686354160308838,artifact_gate_content_rank,20,7,0.2
0.3125,10.0,0.06286630055142774,NoAug,0.08333333333333333,layer3_v2,0.2212293280608308,20,1.3721760511398315,artifact_gate_content_rank,21,7,0.2
0.2777777777777778,10.0,0.011574548151757982,NaiveAug,0.037037037037037056,layer3_v2,0.18653460173603567,200,1.372559905052185,artifact_gate_content_rank,21,7,0.2
0.2708333333333333,10.0,0.04067974351346493,Random50,0.027777777777777752,layer3_v2,0.15114488813181773,110,1.3876979351043701,artifact_gate_content_rank,21,7,0.2
0.2743055555555556,10.0,0.028094676116274468,SASCertTop50,0.03240740740740744,layer3_v2,0.15644927536231884,110,1.378975510597229,artifact_gate_content_rank,21,7,0.2
0.3194444444444444,10.0,0.04438835382461548,ArtifactReject,0.09259259259259256,layer3_v2,0.2423331434625427,182,1.370179533958435,artifact_gate_content_rank,21,7,0.2
0.2881944444444444,10.0,0.00593144011994203,SoftWeight,0.050925925925925895,layer3_v2,0.2157747020376778,200,1.3712509870529175,artifact_gate_content_rank,21,7,0.2
0.3020833333333333,10.0,0.022357225832011964,SoftWeightArtifactReject,0.06944444444444442,layer3_v2,0.2245347582163163,182,1.3705867528915405,artifact_gate_content_rank,21,7,0.2
0.2951388888888889,10.0,0.03778068643684189,NoAug,0.060185185185185196,layer3_v2,0.19006410256410255,20,1.3742095232009888,artifact_gate_content_rank,22,7,0.2
0.3125,10.0,0.03684081840846273,NaiveAug,0.08333333333333333,layer3_v2,0.21891136442721476,200,1.3723430633544922,artifact_gate_content_rank,22,7,0.2
0.2604166666666667,10.0,0.11032282266144952,Random50,0.013888888888888914,layer3_v2,0.12086043761088112,110,1.3724967241287231,artifact_gate_content_rank,22,7,0.2
0.2986111111111111,10.0,0.008082210914128356,SASCertTop50,0.06481481481481481,layer3_v2,0.20305305305305305,110,1.3766264915466309,artifact_gate_content_rank,22,7,0.2
0.2986111111111111,10.0,0.05722666655977567,ArtifactReject,0.06481481481481481,layer3_v2,0.20210518922221676,182,1.3690439462661743,artifact_gate_content_rank,22,7,0.2
0.3020833333333333,10.0,0.04247215948998928,SoftWeight,0.06944444444444442,layer3_v2,0.22216338071430725,200,1.370676875114441,artifact_gate_content_rank,22,7,0.2
0.3194444444444444,10.0,0.06831157818022701,SoftWeightArtifactReject,0.09259259259259256,layer3_v2,0.2289075999687677,182,1.3693692684173584,artifact_gate_content_rank,22,7,0.2
0.3229166666666667,10.0,0.054430243455701396,NoAug,0.09722222222222225,layer3_v2,0.21605037513397643,20,1.3610215187072754,artifact_gate_content_rank,20,8,0.2
0.3298611111111111,10.0,0.02724978110442559,NaiveAug,0.10648148148148147,layer3_v2,0.2194997571636717,200,1.3649946451187134,artifact_gate_content_rank,20,8,0.2
0.34375,10.0,0.08018423091723688,Random50,0.125,layer3_v2,0.2542945781947067,110,1.358446478843689,artifact_gate_content_rank,20,8,0.2
0.28125,10.0,0.02340284993665086,SASCertTop50,0.041666666666666664,layer3_v2,0.16390804838199066,110,1.3723169565200806,artifact_gate_content_rank,20,8,0.2
0.3194444444444444,10.0,0.04394278871930308,ArtifactReject,0.09259259259259256,layer3_v2,0.21294278690356466,182,1.3633389472961426,artifact_gate_content_rank,20,8,0.2
